g_abs,bp_rp
2.8448102854124926,2.513523
6.5398804161605035,1.3244457
3.8646825008456887,0.98157024
4.596134155329613,0.944994
3.970373021463498,0.99509716
5.053147380548262,1.0337963
4.493858422210716,0.9625225
6.338824199952263,1.4070482
0.053765913061370796,1.6065178
6.051250549941511,1.2197952
3.789653866161954,1.2497692
6.802951676326895,1.4130955
3.5321270319231175,1.5539865
3.443692717834068,1.2257013
4.649138109689346,0.981863
9.595321740691787,2.4907207
6.016036782970804,1.1633062
7.934384438110605,1.880621
5.084231544402453,0.9550123
9.484413490783712,2.4487438
3.3686796495997555,0.70853806
5.691052035475822,1.1780157
0.6807742372710823,1.1956463
4.188600015819889,0.8540602
3.7358706243371707,0.98882294
7.07720282472388,1.4500513
7.396351579382227,1.694457
3.693614936964819,2.061141
4.465401638558726,1.2144976
10.863759316649997,2.929367
8.039358524484292,1.9939823
9.130648119660517,2.6039734
3.3147323431937803,0.9809017
3.983586538555503,0.80996704
5.381140927667717,1.0467682
1.130733467578267,1.5085306
4.260932070156796,0.8954401
5.305025197098134,1.0052395
2.7195759386912783,1.1942959
4.4361246368295255,0.89956856
4.377201048212431,0.91135025
4.847161810156086,0.84465504
8.870586133956675,2.122054
6.10578800412323,1.2375612
3.1769804528860632,0.9013462
9.151885803064918,2.2106457
5.182694426415061,0.92881584
0.6462654882418839,1.0674629
7.632325022850928,1.8462467
7.983009363685429,1.8822012
6.901513821829781,1.3682775
6.083675637509074,1.1390066
5.58671337892755,1.2693129
5.8882993639056505,1.8201828
6.7848182844780816,1.3997583
5.452389145178703,1.3117275
9.75013030585238,2.367691
3.8985092564005885,0.9117899
4.461152208775822,0.9074278
3.267294140688149,2.5124826
3.759623623897488,0.80118275
1.6632130692674885,1.1057854
7.477139982270046,1.7351494
5.869406166694095,0.9363642
8.176049465218899,1.9570255
5.17853665660059,1.0082111
11.360504167045775,2.940073
8.264327082456468,1.8684673
8.829699736439697,2.4138317
8.712880903127303,2.1497898
4.426656609866992,0.9033117
6.01317204105014,1.0790215
3.3579292403705363,0.763567
6.0506005856936085,1.4992313
6.850954373202484,1.3602514
2.1509671426146078,0.72626114
4.759259356382023,1.0955734
8.388169702600784,1.951891
9.28894381763714,2.3752165
3.931378721477534,0.87815857
7.734782393142634,1.8580427
8.659420356293943,2.1494389
7.1373183782160545,1.5614977
5.590455533740997,1.3269453
6.3684173811069975,1.2785311
5.525165026283792,1.0886965
4.433189879065996,0.8665447
2.9848606161281452,0.7673874
6.815873814637733,1.6882038
5.416734359586963,1.0975847
5.6464103586750625,1.1082935
5.313199645777075,0.9494238
5.077041479963757,1.1332474
6.226739540391549,1.8512783
7.590064419851146,1.843998
5.5743970191681615,1.2030602
3.927757448215381,0.9550991
0.7384968025033629,1.3637152
3.9397030729061893,0.85414886
3.005607493447144,0.8212013
6.804633791841091,1.7213774
3.6786210881630304,0.92620087
7.996680719396146,1.8672714
2.0068783681432514,0.6699829
8.426054414480081,1.9705505
2.7178322581106826,1.2975302
3.8165934005293813,2.0109968
4.193438020166274,0.7657051
5.10100809319972,0.86935997
3.4548966985363183,0.90305233
5.691720044748935,1.159792
12.441051927469278,3.700203
2.618285483494166,1.0804119
5.195265346673915,0.9486418
9.145201727150194,2.5160713
3.775944608845684,1.0212984
6.537409593544783,1.4028072
5.8880849644395425,1.4118557
2.921506980341533,1.1419058
9.225125753918665,2.302517
8.18616535884907,1.9509945
5.648817324088029,1.2507048
4.42223576506608,1.0758638
4.9932165366187995,1.7767067
2.8821900105363234,1.4296894
8.257731257996742,1.8329678
8.729728257572066,2.0838776
7.318134637195492,1.4961643
2.0274359049990114,1.4811239
6.525241966497955,1.2968483
5.324589084584604,1.3831348
6.6117787223472035,1.2644176
7.846346050024287,1.8163738
5.6814281665772395,1.1743526
5.9346527790042085,1.1083212
6.816519595522486,1.8435478
5.845041474502997,1.1088562
4.8819016691176,1.0558062
5.350154184016112,1.6569996
4.410883104259911,1.1457033
4.4969447566086185,0.8608713
2.0358277201661963,1.0875788
5.671036379974051,1.2536182
3.733928561893496,0.9619684
3.567788127675284,0.79601955
4.342110777477204,1.1876869
5.832432579371151,1.1875811
4.900682729424142,0.8979635
4.4448062684080885,0.77258873
2.7689894870646743,1.1903057
6.001149093420125,1.1198311
6.049622451745321,1.1815624
5.541291026660689,1.106225
1.8574098385883513,2.2163925
3.2132312192904653,0.7949171
1.2627981605448433,1.808342
3.835146786354782,0.76485443
4.485957165193257,1.1123371
9.37194014663994,2.262825
5.731340737003061,1.9808578
3.664307216287874,0.95070934
4.226631526105216,0.9037905
2.5284861596933474,0.77829075
3.844308084769608,0.96262646
6.7163534113733085,1.3903332
1.605694096789886,1.2948332
6.054184185778684,1.1432085
3.708633837884504,0.91776943
3.9070155422617106,0.79517555
4.982192498762206,1.6249123
6.885316772972196,1.48209
4.588961075581823,1.2689438
6.9589283024310475,1.5547619
4.8491274165291305,1.327755
2.719583761954871,0.97911644
3.477159385257032,1.377203
